StudentID,CourseID
20180002,1
20180002,2
20180002,3
20180002,4
20180002,5
20180002,7
20180002,8
20180002,9
20180002,10
20180002,11
20180002,13
20180002,14
20180002,15
20180002,16
20180002,18
20180002,19
20180002,20
20180002,21
20180002,22
20180002,25
20180002,176
20180002,177
20180002,178
20180002,6
20180002,12
20180002,17
20180002,23
20180002,24
20180002,26
20180002,27
20180002,29
20180002,32
20180002,40
20180002,48
20180002,49
20180002,50
20180002,51
20180002,52
20180002,53
20180002,55
20180002,56
20180002,57
20180002,75
20180002,82
20180002,58
20180002,69
20180002,74
20180002,65
20180002,62
20180002,66
20180004,1
20180004,2
20180004,3
20180004,4
20180004,5
20180004,7
20180004,8
20180004,9
20180004,10
20180004,11
20180004,13
20180004,14
20180004,15
20180004,16
20180004,18
20180004,19
20180004,20
20180004,21
20180004,22
20180004,25
20180004,176
20180004,177
20180004,178
20180004,6
20180004,12
20180004,17
20180004,23
20180004,24
20180004,26
20180004,27
20180004,29
20180004,32
20180004,40
20180004,48
20180004,49
20180004,50
20180004,51
20180004,52
20180004,53
20180004,55
20180004,56
20180004,57
20180004,75
20180004,82
20180004,62
20180004,64
20180004,67
20180004,71
20180004,69
20180004,60
20180010,1
20180010,2
20180010,3
20180010,4
20180010,5
20180010,7
20180010,8
20180010,9
20180010,10
20180010,11
20180010,13
20180010,14
20180010,15
20180010,16
20180010,18
20180010,19
20180010,20
20180010,21
20180010,22
20180010,25
20180010,176
20180010,177
20180010,178
20180010,6
20180010,12
20180010,17
20180010,23
20180010,24
20180010,26
20180010,27
20180010,29
20180010,32
20180010,40
20180010,48
20180010,49
20180010,50
20180010,51
20180010,52
20180010,53
20180010,55
20180010,56
20180010,57
20180010,75
20180010,82
20180010,66
20180010,73
20180010,70
20180010,68
20180010,69
20180010,74
20180012,1
20180012,2
20180012,3
20180012,4
20180012,5
20180012,7
20180012,8
20180012,9
20180012,10
20180012,11
20180012,13
20180012,14
20180012,15
20180012,16
20180012,18
20180012,19
20180012,20
20180012,21
20180012,22
20180012,25
20180012,176
20180012,177
20180012,178
20180012,6
20180012,12
20180012,17
20180012,23
20180012,24
20180012,26
20180012,27
20180012,29
20180012,32
20180012,40
20180012,48
20180012,49
20180012,50
20180012,51
20180012,52
20180012,53
20180012,55
20180012,56
20180012,57
20180012,75
20180012,82
20180012,72
20180012,69
20180012,71
20180012,73
20180012,63
20180012,67
20180014,1
20180014,2
20180014,3
20180014,4
20180014,5
20180014,7
20180014,8
20180014,9
20180014,10
20180014,11
20180014,13
20180014,14
20180014,15
20180014,16
20180014,18
20180014,19
