StudentID,CourseID
20190006,1
20190006,2
20190006,3
20190006,4
20190006,5
20190006,7
20190006,8
20190006,9
20190006,10
20190006,11
20190006,13
20190006,14
20190006,15
20190006,16
20190006,18
20190006,19
20190006,20
20190006,21
20190006,22
20190006,25
20190006,178
20190006,6
20190006,12
20190006,17
20190006,23
20190006,24
20190006,26
20190006,27
20190006,29
20190006,32
20190006,50
20190006,51
20190006,52
20190006,53
20190006,75
20190006,82
20190018,1
20190018,2
20190018,3
20190018,4
20190018,5
20190018,7
20190018,8
20190018,9
20190018,10
20190018,11
20190018,13
20190018,14
20190018,15
20190018,16
20190018,18
20190018,19
20190018,20
20190018,21
20190018,22
20190018,25
20190018,178
20190018,6
20190018,12
20190018,17
20190018,23
20190018,24
20190018,26
20190018,27
20190018,29
20190018,32
20190018,50
20190018,51
20190018,52
20190018,53
20190018,75
20190018,82
20190021,1
20190021,2
20190021,3
20190021,4
20190021,5
20190021,7
20190021,8
20190021,9
20190021,10
20190021,11
20190021,13
20190021,14
20190021,15
20190021,16
20190021,18
20190021,19
20190021,20
20190021,21
20190021,22
20190021,25
20190021,178
20190021,6
20190021,12
20190021,17
20190021,23
20190021,24
20190021,26
20190021,27
20190021,29
20190021,32
20190021,50
20190021,51
20190021,52
20190021,53
20190021,75
20190021,82
20190028,1
20190028,2
20190028,3
20190028,4
20190028,5
20190028,7
20190028,8
20190028,9
20190028,10
20190028,11
20190028,13
20190028,14
20190028,15
20190028,16
20190028,18
20190028,19
20190028,20
20190028,21
20190028,22
20190028,25
20190028,178
20190028,6
20190028,12
20190028,17
20190028,23
20190028,24
20190028,26
20190028,27
20190028,29
20190028,32
20190028,50
20190028,51
20190028,52
20190028,53
20190028,75
20190028,82
20190029,1
20190029,2
20190029,3
20190029,4
20190029,5
20190029,7
20190029,8
20190029,9
20190029,10
20190029,11
20190029,13
20190029,14
20190029,15
20190029,16
20190029,18
20190029,19
20190029,20
20190029,21
20190029,22
20190029,25
20190029,178
20190029,6
20190029,12
20190029,17
20190029,23
20190029,24
20190029,26
20190029,27
20190029,29
20190029,32
20190029,50
20190029,51
20190029,52
20190029,53
20190029,75
20190029,82
20190035,1
20190035,2
20190035,3
20190035,4
20190035,5
20190035,7
20190035,8
20190035,9
20190035,10
20190035,11
20190035,13
20190035,14
20190035,15
20190035,16
20190035,18
20190035,19
20190035,20
20190035,21
20190035,22
20190035,25
20190035,178
20190035,6
20190035,12
20190035,17
20190035,23
20190035,24
20190035,26
20190035,27
20190035,29
20190035,32
20190035,50
20190035,51
20190035,52
20190035,53
20190035,75
20190035,82
20190036,1
20190036,2
20190036,3
20190036,4
20190036,5
20190036,7
20190036,8
20190036,9
20190036,10
20190036,11
20190036,13
20190036,14
20190036,15
20190036,16
20190036,18
20190036,19
20190036,20
20190036,21
20190036,22
20190036,25
20190036,178
20190036,6
20190036,12
20190036,17
20190036,23
20190036,24
20190036,26
20190036,27
20190036,29
20190036,32
20190036,50
20190036,51
20190036,52
20190036,53
20190036,75
20190036,82
20190038,1
